"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест получения счетов администратором","999","test_get_accounts_admin","api","2025-10-09","passed","2025-10-09","TestAccountsAPI","test_accounts","",""
"Тест доступа к аккаунтам разных ролей","736","test_user_roles_accounts_access[VIP]","api","2025-10-09","passed","2025-10-09","TestAccountsIntegration","test_accounts","",""
"Тест доступности Transfer Service","238","test_transfer_service_availability","api","2025-10-09","passed","2025-10-09","TestTransfersIntegration","test_transfers","",""
"Тест доступа к переводам разных ролей","945","test_user_roles_transfers_access[SUPPORT]","api","2025-10-09","passed","2025-10-09","TestTransfersIntegration","test_transfers","",""
"Тест получения списка переводов","687","test_get_transfers","api","2025-10-09","passed","2025-10-09","TestTransfersAPI","test_transfers","",""
"Тест workflow с существующими пользователями","937","test_account_workflow_existing_users","api","2025-10-09","passed","2025-10-09","TestAccountsIntegration","test_accounts","",""
"Тест логина VIP пользователя","1279","test_login_with_vip_user","ui","2025-10-09","passed","2025-10-09","TestUIAuthentication","test_ui_auth","",""
"Тест получения лимитов переводов","818","test_get_transfer_limits","api","2025-10-09","passed","2025-10-09","TestTransfersAPI","test_transfers","",""
"Тест успешного логаута через UI","1819","test_successful_logout","ui","2025-10-09","passed","2025-10-09","TestUIAuthentication","test_ui_auth","",""
"Тест создания внутреннего перевода между собственными счетами через API","594","test_create_internal_transfer_between_own_accounts","api","2025-10-09","passed","2025-10-09","TestTransfersAPI","test_transfers","",""
"Тест производительности логина","670","test_login_performance","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
"Тест валидации JWT токена","681","test_token_validation","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
"Тест доступа к аккаунтам разных ролей","754","test_user_roles_accounts_access[ADMIN]","api","2025-10-09","passed","2025-10-09","TestAccountsIntegration","test_accounts","",""
"Тест получения списка счетов","788","test_get_accounts","api","2025-10-09","passed","2025-10-09","TestAccountsAPI","test_accounts","",""
"Тест доступа к переводам администратором","743","test_transfers_admin_access","api","2025-10-09","passed","2025-10-09","TestTransfersAPI","test_transfers","",""
"Тест доступности Auth Service","230","test_auth_service_availability","api","2025-10-09","passed","2025-10-09","TestAuthIntegration","test_auth","",""
"Тест доступа к переводам VIP пользователя","729","test_transfers_vip_access","api","2025-10-09","passed","2025-10-09","TestTransfersAPI","test_transfers","",""
"Тест валидации невалидного токена","294","test_invalid_token_validation","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
"Тест доступа к переводам разных ролей","919","test_user_roles_transfers_access[USER]","api","2025-10-09","passed","2025-10-09","TestTransfersIntegration","test_transfers","",""
"Тест получения счетов VIP пользователя","690","test_get_accounts_vip","api","2025-10-09","passed","2025-10-09","TestAccountsAPI","test_accounts","",""
"Тест внутреннего перевода между собственными счетами пользователя","7799","test_internal_transfer_between_own_accounts","ui","2025-10-09","passed","2025-10-09","","test_ui_transfers","",""
"Тест логина с неверными данными","207","test_invalid_credentials","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
"Тест наличия элементов формы перевода","1345","test_transfer_form_elements","ui","2025-10-09","passed","2025-10-09","","test_ui_transfers","",""
"Тест одновременных логинов","2199","test_concurrent_logins","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
"Тест успешного логина пользователя через UI","1292","test_successful_login","ui","2025-10-09","passed","2025-10-09","TestUIAuthentication","test_ui_auth","",""
"Тест health check Auth Service","204","test_health_check","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
"Тест доступа к аккаунтам разных ролей","807","test_user_roles_accounts_access[USER]","api","2025-10-09","passed","2025-10-09","TestAccountsIntegration","test_accounts","",""
"Тест доступа к переводам разных ролей","1029","test_user_roles_transfers_access[ADMIN]","api","2025-10-09","passed","2025-10-09","TestTransfersIntegration","test_transfers","",""
"Тест доступности Account Service","219","test_account_service_availability","api","2025-10-09","passed","2025-10-09","TestAccountsIntegration","test_accounts","",""
"Тест доступа к странице переводов","1395","test_access_transfers_page","ui","2025-10-09","passed","2025-10-09","","test_ui_transfers","",""
"Тест доступа к аккаунтам разных ролей","787","test_user_roles_accounts_access[SUPPORT]","api","2025-10-09","passed","2025-10-09","TestAccountsIntegration","test_accounts","",""
"Тест успешного логина","593","test_valid_login","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
"Тест доступа к переводам разных ролей","822","test_user_roles_transfers_access[VIP]","api","2025-10-09","passed","2025-10-09","TestTransfersIntegration","test_transfers","",""
"Простой тест создания счета без создания новых пользователей","747","test_create_account_simple","api","2025-10-09","passed","2025-10-09","TestAccountsAPI","test_accounts","",""
"Тест получения данных dashboard","723","test_get_dashboard_data","api","2025-10-09","passed","2025-10-09","TestAccountsAPI","test_accounts","",""
"Тест workflow переводов с существующими пользователями","812","test_transfer_workflow_existing_users","api","2025-10-09","passed","2025-10-09","TestTransfersIntegration","test_transfers","",""
"Тест логаута","802","test_logout","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
"Тест логина пользователей разных ролей","2099","test_role_based_login","api","2025-10-09","passed","2025-10-09","TestAuthenticationAPI","test_auth","",""
